缩写,ABBREVIATE
毛利,GROSS MARGIN
让利,SURRENDER PROFITS
门店,OUTLET
外链,EXTERNAL LINK
后,AFTER
解锁,UNLOCK
持续,CONTINOUS
负责人,MANAGER
命中,HIT
内置,BUILT IN
缩略图,THUMBNAIL
医疗,MEDICAL
处方,PRESCRIPTION
挂号,REGISTER
教师,TEACHER
学生,STUDENT
医保,MEDICAL INSURANCE
注射,INJECT
档案,ARCHIVES
缴费,PAY FEE
既往病史,FORMERLY MEDICAL HISTORY
班级,CLASS
部门,DEPARTMENT
生产厂家,MANUFACTURER
剂型,DOSAGE FORM
批准文号,APPROVAL LICENSE NUMBER
批号,BATCH NO
有效日期,EXPIRY DATE
进口,IMPORT
进货价,PURCHASE PRICE
医生,DOCTOR
接诊,RECEIVE PATIENT
急诊,EMERGENCY
服药方式,TAKE WAY
治疗单,TREATMENT RECIPE
治疗,TREATMENT
病情,ILLNESS
领取,RECEIVE
配药,DISPENSING
诊断,DIAGNOSIS
医嘱,DOCTOR ADVICE
通用名,TRIVIAL NAME
监控,MONITOR
预警,WARNING
服用方法,TAKE METHODS
修订,REVISE
物品,GOODS
工资,SALARY
用法,USAGE
拼音,PIN YIN
地址,ADDRESS
住址,ADDRESS
原始,ORIGINAL
短信,SMS
统一,UNIFIED
接收人,RECEIVER
回执,RECEIPT
外部,OUTER
到达,ARRIVE
发布,PUBLISH
周期订购,CYCLICITY ORDER
发货,DELIVERY
元数据,METADATA
运费,FREIGHT
公式,FORMULA
接口,INTERFACE
卖家,SELLER
买家,BUYER
金额,AMOUNT
自提,SELF PICKUP
包裹,PACKAGE
店铺,SHOP
租期,LEASE
子域名,SUBDOMAIN
经度,LON
纬度,LAT
热搜,HOT SEARCH
固定,FIXED
销售价,SALE PRICE
卖点,SELLING POINT
线下,OFFLINE
流水,FLOW
结算,SETTLEMENT
单据,DOCUMENT
签收,SIGNED
筛选,FILTERED
现金,CASH
购物车,SHOPPING CART
图文,IMAGE TEXT
装修,DECORATION
推广,POPULARIZE
屏蔽,BAN
正面,FRONT
背面,BACK
加亮,HIGHLIGHT
微信,WECHAT
代收,AGENT COLLECT
比率,RATE
返利,REBATES
提现,WITHDRAW
取消,CANCEL
合约,CONTRACT
首页,HOMEPAGE
搜索栏,SEARCH BAR
左,LEFT
右,RIGHT
按钮,BUTTON
浮动,FLOAT
底部,BOTTOM
导航条,NAVBAR
风格,STYLE
客服,CUSTOMER SERVICE
渐变,GRADIENT
颜色,COLOR
圆形,CIRCLE
边角,CORNER
矢量,VECTOR
选中,SELECTED
未选,UNSELECTED
轮播,CAROUSEL
超宽,ULTRA WIDE
屏幕,SCREEN
导航,NAVIGATION
边框,BORDER
阴影,SHADOW
橱窗,SHOPWINDOW
背景,BACKGROUND
对齐,ALIGN
隔断,PARTITION
楼层,FLOOR
顶部,TOP
边缘,EDGE
装饰,DECORATE
线型,LINETYPE
更多,MORE
宽高比,ASPECT RATIO
海报,POSTER
限制,LIMIT
优惠券,CUPON
门槛,THRESHOLD
退款,REFUND
正则,REGEXP
正式,FORMAL
小程序,MINA
税务,DUTIABLE
导出,EXPORT
分栏,SUBFIELD
多行,MULTI LINE
色调,TONE
监管,WATCH
分组,GROUP
高亮,HIGHLIGHT
共享,SHARE
佣金,COMMISSION
收益,LUCRE
分享,SHARE
充电桩,CHARGE POINT
设备,EQUIPMENT
厂商,VENDOR
传输,TRANSACTION
停止,STOP
序列号,SERIAL NUMBER
固件,FIRMWARE
事务,TRANSACTION
充电,CHARGE
消耗,COST
电量,ENERGY
计费,COST MONEY
